------------------------------------------------------------

[10:00:23:000]	recv [D1] (8) C011021509342200
[10:01:22:156]	recv [EA] (64) 1102150A0117010A0000003033000000000000999899999999000290000001909090980000006400000064148413177910937920170111184939000100000000
[10:01:22:811]	CPUCard cmd: (7)00A40000023F01 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[10:01:23:294]	CPUCard cmd: (11)0020000006303030303030 -> [9000](2)9000
[10:01:23:528]	CPUCard cmd: (16)805000020B0100000064000000009998 -> [9000](18)00001388000101007AB977001B49FA479000
[10:01:23:825]	send [EA] (85) 000000FFFF1102150A0119010A000000443400000000999899999999123400000002000000000000077890000001909090982F7AF87104000001000100000064000013887AB977001B49FA47881484131779109379
[10:01:24:839]	recv [EA] (19) 1102150A0119010A0000000334002000000000
[10:01:25:354]	recv [D1] (8) C01102150A020D00
[10:02:12:637]	send [EA] (59) 000000FFFF1102150A020E010A0000002A949999999917020609000016022914000000000000999800000000000000635863580012345678912345
[10:02:13:542]	recv [EA] (28) 1102150A020E010A0000000C84999999992017022110021600000000
[10:02:14:010]	send [EA] (32) 000000FFFF1102150A0210010A0000000F000000000099989999999912340000
[10:02:14:665]	recv [EA] (34) 1102150A0210010A0000001200000007E10215093838000000000000077800000000
[10:02:15:196]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[10:02:16:085]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200221FFFF9000
[10:02:16:444]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[10:02:16:849]	CPUCard cmd: (5)805C000204 -> [9000](6)000013889000
[10:02:17:021]	send [EA] (110) 000000FFFF1102150A0213010A0000005D3000000000999899999999123400000000000149F0049999999900000017022109435453544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[10:02:17:848]	recv [EA] (29) 1102150A0213010A0000000D3000000000000099989999999900000000
[10:02:18:238]	CPUCard cmd: (5)0084000004 -> [9000](6)815751D69000
[10:02:18:800]	send [EA] (54) 000000FFFF1102150A0214010A00000025320000000099989999999912340000000190000001909090980400018820200221815751D6
[10:02:19:143]	recv [EA] (53) 1102150A0214010A000000253200000000000099989999999900019000000190909098000420200221815751D6673D7D2C00000000
[10:02:19:642]	CPUCard cmd: (13)04D695180820200221673D7D2C -> [9000](2)9000
[10:02:19:860]	send [EA] (57) 000000FFFF1102150A0216010A000000283300000000999899999999123400000001000000000000077890000001909090982F7AF871040001
[10:02:20:656]	send [EA] (110) 000000FFFF1102150A0216010A0000005D3000000000999899999999123400000000000149F0049999999900000017022109464153544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[10:02:21:420]	recv [EA] (64) 1102150A0216010A0000003033000000000000999899999999000190000001909090980000006400000064148413177910937920170111184939000100000000
[10:02:22:013]	CPUCard cmd: (7)00A40000023F01 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[10:02:22:450]	CPUCard cmd: (11)0020000006303030303030 -> [9000](2)9000
[10:02:22:606]	CPUCard cmd: (16)805000020B0100000064000000009998 -> [9000](18)00001388000101004175F7C722F896149000
[10:02:22:918]	recv [EA] (29) 1102150A0216010A0000000D3000000000000099989999999900000000
[10:02:23:152]	send [EA] (85) 000000FFFF1102150A0219010A000000443400000000999899999999123400000001000000000000077890000001909090982F7AF87104000001000100000064000013884175F7C722F89614881484131779109379
[10:02:24:026]	send [EA] (110) 000000FFFF1102150A021A010A0000005D3000000000999899999999123400000000000149F0049999999900000017022109464153544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[10:02:24:774]	recv [EA] (19) 1102150A0219010A0000000334002000000000
[10:02:25:118]	recv [EA] (29) 1102150A021A010A0000000D3000000000000099989999999900000000
[10:02:25:352]	send [EA] (110) 000000FFFF1102150A021D010A0000005D3000000000999899999999123400000000000149F0049999999900000017022109464153544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[10:02:27:941]	recv [EA] (29) 1102150A021D010A0000000D3000000000000099989999999900000000
[10:02:28:347]	send [EA] (110) 000000FFFF1102150A0220010A0000005D3000000000999899999999123400000000000149F004999999990000011702210949304E45545253543A72657365745F636F756E743D32352C6C6173745F6572726F723D2D31000024DF0100F800E07F01000000010000001D00000038
[10:02:30:936]	recv [EA] (29) 1102150A0220010A0000000D3000000000000099989999999900000000
[10:02:31:326]	recv [D1] (8) C01102150B081000
[11:08:14:642]	send [EA] (59) 000000FFFF1102150B0811010A0000002A949999999917020609000016022914000000000000999800000000000000635863580012345678912345
[11:08:15:468]	recv [EA] (28) 1102150B0811010A0000000C84999999992017022111081800000000
[11:08:16:014]	send [EA] (32) 000000FFFF1102150B0812010A0000000F000000000099989999999912340000
[11:08:16:654]	recv [EA] (34) 1102150B0812010A0000001200000007E102150B023A000000000000077800000000
[11:08:17:200]	send [EA] (110) 000000FFFF1102150B0813010A0000005D3000000000999899999999123400000000000149F0049999999900000017022109435453544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[11:08:18:339]	recv [EA] (29) 1102150B0813010A0000000D3000000000000099989999999900000000
[11:08:18:854]	send [EA] (110) 000000FFFF1102150B0817010A0000005D3000000000999899999999123400000000000149F0049999999900000017022109464153544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[11:08:21:818]	recv [EA] (29) 1102150B0817010A0000000D3000000000000099989999999900000000
[11:08:22:317]	send [EA] (110) 000000FFFF1102150B081A010A0000005D3000000000999899999999123400000000000149F004999999990000011702210949304E45545253543A72657365745F636F756E743D32352C6C6173745F6572726F723D2D31000024DF0100F800E07F01000000010000001D00000038
[11:08:25:281]	recv [EA] (29) 1102150B081A010A0000000D3000000000000099989999999900000000
[11:08:25:765]	send [EA] (110) 000000FFFF1102150B081E010A0000005D3000000000999899999999123400000000000149F0049999999900000017022109500853544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[11:08:28:744]	recv [EA] (29) 1102150B081E010A0000000D3000000000000099989999999900000000
[11:08:29:212]	send [EA] (110) 000000FFFF1102150B0821010A0000005D3000000000999899999999123400000000000149F004999999990000011702210950164E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:08:32:207]	recv [EA] (29) 1102150B0821010A0000000D3000000000000099989999999900000000
[11:08:32:722]	send [EA] (110) 000000FFFF1102150B0824010A0000005D3000000000999899999999123400000000000149F0049999999900000017022109522353544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[11:08:35:717]	recv [EA] (29) 1102150B0824010A0000000D3000000000000099989999999900000000
[11:08:36:217]	send [EA] (110) 000000FFFF1102150B0828010A0000005D3000000000999899999999123400000000000149F004999999990000011702210952314E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:08:39:165]	recv [EA] (29) 1102150B0828010A0000000D3000000000000099989999999900000000
[11:08:39:664]	send [EA] (110) 000000FFFF1102150B082B010A0000005D3000000000999899999999123400000000000149F0049999999900000017022110020353544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[11:08:42:628]	recv [EA] (29) 1102150B082B010A0000000D3000000000000099989999999900000000
[11:08:43:159]	recv [D1] (8) A01102150B082D00
[11:08:44:063]	send [EA] (110) 000000FFFF1102150B082F010A0000005D3000000000999899999999123400000000000149F004999999990000011702211002114E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:08:45:748]	recv [EA] (29) 1102150B082F010A0000000D3000000000000099989999999900000000
[11:08:46:247]	send [EA] (110) 000000FFFF1102150B0832010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111065653544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[11:08:49:196]	recv [EA] (29) 1102150B0832010A0000000D3000000000000099989999999900000000
[11:08:49:695]	send [EA] (110) 000000FFFF1102150B0835010A0000005D3000000000999899999999123400000000000149F004999999990000011702211107044E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:08:52:628]	recv [EA] (29) 1102150B0835010A0000000D3000000000000099989999999900000000
[11:08:53:112]	send [EA] (110) 000000FFFF1102150B0839010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111080653544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[11:08:56:107]	recv [EA] (29) 1102150B0839010A0000000D3000000000000099989999999900000000
[11:08:56:575]	send [EA] (110) 000000FFFF1102150B0900010A0000005D3000000000999899999999123400000000000149F004999999990000011702211108144E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:08:59:523]	recv [EA] (29) 1102150B0900010A0000000D3000000000000099989999999900000000
[11:09:00:022]	recv [D1] (8) A01102150B091000
[11:09:14:452]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:09:25:295]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:09:25:607]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[11:09:25:981]	CPUCard cmd: (5)805C000204 -> [9000](6)000013889000
[11:09:26:153]	CPUCard cmd: (5)0084000004 -> [9000](6)40391DAF9000
[11:09:26:948]	send [EA] (54) 000000FFFF1102150B091C010A0000002532000000009998999999991234000000019000000190909098040001882020022140391DAF
[11:09:27:323]	send [EA] (54) 000000FFFF1102150B091D010A0000002532000000009998999999991234000000019000000190909098040001882020022140391DAF
[11:09:28:243]	recv [EA] (53) 1102150B091C010A00000025320000000000009998999999990001900000019090909800042020022140391DAF9EE258B000000000
[11:09:28:773]	CPUCard cmd: (13)04D6951808202002219EE258B0 -> [9000](2)9000
[11:09:28:976]	recv [EA] (53) 1102150B091D010A00000025320000000000009998999999990001900000019090909800042020022140391DAF9EE258B000000000
[11:09:29:335]	send [EA] (57) 000000FFFF1102150B091F010A000000283300000000999899999999123400000001000000000000077890000001909090982F7AF871040001
[11:09:30:099]	recv [EA] (64) 1102150B091F010A0000003033000000000000999899999999000190000001909090980000006400000064148413177910937920170111184939000100000000
[11:09:30:770]	CPUCard cmd: (7)00A40000023F01 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:09:31:207]	CPUCard cmd: (11)0020000006303030303030 -> [9000](2)9000
[11:09:31:410]	CPUCard cmd: (16)805000020B0100000064000000009998 -> [9000](18)000013880001010024AFE8B28D1289239000
[11:09:31:753]	send [EA] (85) 000000FFFF1102150B0922010A000000443400000000999899999999123400000001000000000000077890000001909090982F7AF871040000010001000000640000138824AFE8B28D128923881484131779109379
[11:09:32:642]	send [EA] (85) 000000FFFF1102150B0923010A000000443400000000999899999999123400000001000000000000077890000001909090982F7AF871040000010001000000640000138824AFE8B28D128923881484131779109379
[11:09:33:765]	recv [EA] (58) 1102150B0922010A0000002A340000000000009998999999990001900000019090909824AFE8B28D1289234E33667E2017022111093500000000
[11:09:34:421]	recv [EA] (58) 1102150B0923010A0000002A340000000000009998999999990001900000019090909824AFE8B28D128923CAB782302017022111093600000000
[11:09:34:811]	recv [D1] (8) A01102150B092E00
[11:09:44:857]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:09:45:746]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:09:46:043]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[11:09:46:417]	CPUCard cmd: (5)805C000204 -> [9000](6)000013889000
[11:09:46:573]	CPUCard cmd: (5)0084000004 -> [9000](6)5FA0B9E79000
[11:09:47:384]	send [EA] (54) 000000FFFF1102150B0931010A000000253200000000999899999999123400000002900000019090909804000188202002215FA0B9E7
[11:09:47:759]	recv [EA] (53) 1102150B0931010A0000002532000000000000999899999999000290000001909090980004202002215FA0B9E70C36106100000000
[11:09:48:461]	CPUCard cmd: (13)04D6951808202002210C361061 -> [9000](2)9000
[11:09:48:679]	send [EA] (57) 000000FFFF1102150B0933010A000000283300000000999899999999123400000002000000000000077890000001909090982F7AF871040001
[11:09:49:428]	recv [EA] (64) 1102150B0933010A0000003033000000000000999899999999000290000001909090980000006400000064148413177910937920170111184939000100000000
[11:09:50:099]	CPUCard cmd: (7)00A40000023F01 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:09:50:551]	CPUCard cmd: (11)0020000006303030303030 -> [9000](2)9000
[11:09:50:754]	CPUCard cmd: (16)805000020B0100000064000000009998 -> [9000](18)0000138800010100B4DB5E7F74CA4EDE9000
[11:09:51:081]	send [EA] (85) 000000FFFF1102150B0935010A000000443400000000999899999999123400000002000000000000077890000001909090982F7AF8710400000100010000006400001388B4DB5E7F74CA4EDE881484131779109379
[11:09:52:017]	recv [EA] (58) 1102150B0935010A0000002A3400000000000099989999999900029000000190909098B4DB5E7F74CA4EDE6C8F07552017022111095400000000
[11:09:52:657]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:10:08:226]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:10:08:538]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[11:10:08:912]	CPUCard cmd: (5)805C000204 -> [9000](6)000013889000
[11:10:09:084]	CPUCard cmd: (5)0084000004 -> [9000](6)409CE3319000
[11:10:09:880]	send [EA] (54) 000000FFFF1102150B0A0B010A00000025320000000099989999999912340000000390000001909090980400018820200221409CE331
[11:10:10:238]	recv [EA] (53) 1102150B0A0B010A000000253200000000000099989999999900039000000190909098000420200221409CE331C103E1BE00000000
[11:10:10:925]	CPUCard cmd: (13)04D695180820200221C103E1BE -> [9000](2)9000
[11:10:11:128]	send [EA] (57) 000000FFFF1102150B0A0D010A000000283300000000999899999999123400000003000000000000077890000001909090982F7AF871040001
[11:10:11:892]	recv [EA] (64) 1102150B0A0D010A0000003033000000000000999899999999000390000001909090980000006400000064148413177910937920170111184939000100000000
[11:10:12:578]	CPUCard cmd: (7)00A40000023F01 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:10:13:000]	CPUCard cmd: (11)0020000006303030303030 -> [9000](2)9000
[11:10:13:187]	CPUCard cmd: (16)805000020B0100000064000000009998 -> [9000](18)00001388000101007DFBBD31F8E951D79000
[11:10:13:499]	send [EA] (85) 000000FFFF1102150B0A0F010A000000443400000000999899999999123400000003000000000000077890000001909090982F7AF87104000001000100000064000013887DFBBD31F8E951D7881484131779109379
[11:10:14:435]	recv [EA] (58) 1102150B0A0F010A0000002A34000000000000999899999999000390000001909090987DFBBD31F8E951D7884F57512017022111101700000000
[11:10:15:090]	recv [D1] (8) A01102150B0A1100
[11:10:15:761]	recv [D1] (8) C01102150B141200
[11:20:16:411]	send [EA] (59) 000000FFFF1102150B1412010A0000002A949999999917020609000016022914000000000000999800000000000000635863580012345678912345
[11:20:17:254]	recv [EA] (28) 1102150B1412010A0000000C84999999992017022111201900000000
[11:20:17:737]	send [EA] (32) 000000FFFF1102150B1413010A0000000F000000000099989999999912340000
[11:20:18:377]	recv [EA] (34) 1102150B1413010A0000001200000007E102150B0E3B000000000000077800000000
[11:20:18:892]	send [EA] (110) 000000FFFF1102150B1414010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111194953544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[11:20:20:062]	recv [EA] (29) 1102150B1414010A0000000D3000000000000099989999999900000000
[11:20:20:561]	send [EA] (110) 000000FFFF1102150B1418010A0000005D3000000000999899999999123400000000000149F004999999990000011702211119574E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:20:23:525]	recv [EA] (29) 1102150B1418010A0000000D3000000000000099989999999900000000
[11:20:24:040]	recv [D1] (8) A01102150B141B00
[11:20:26:661]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:20:30:374]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:20:30:701]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[11:20:31:091]	CPUCard cmd: (5)805C000204 -> [9000](6)000013889000
[11:20:31:247]	CPUCard cmd: (5)0084000004 -> [9000](6)4B5F619E9000
[11:20:32:058]	send [EA] (54) 000000FFFF1102150B1421010A000000253200000000999899999999123400000001900000019090909804000188202002214B5F619E
[11:20:32:417]	recv [EA] (53) 1102150B1421010A0000002532000000000000999899999999000190000001909090980004202002214B5F619E6D918A7200000000
[11:20:33:010]	CPUCard cmd: (13)04D6951808202002216D918A72 -> [9000](2)9000
[11:20:33:228]	send [EA] (57) 000000FFFF1102150B1422010A000000283300000000999899999999123400000001000000000000077890000001909090982F7AF871040001
[11:20:33:993]	recv [EA] (64) 1102150B1422010A0000003033000000000000999899999999000190000001909090980000006400000064148413177910937920170111184939000100000000
[11:20:34:695]	CPUCard cmd: (7)00A40000023F01 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:20:35:163]	CPUCard cmd: (11)0020000006303030303030 -> [9000](2)9000
[11:20:35:350]	CPUCard cmd: (16)805000020B0100000064000000009998 -> [9000](18)0000138800010100B4FFF94C7B15CA619000
[11:20:35:709]	send [EA] (85) 000000FFFF1102150B1425010A000000443400000000999899999999123400000001000000000000077890000001909090982F7AF8710400000100010000006400001388B4FFF94C7B15CA61881484131779109379
[11:20:36:660]	recv [EA] (58) 1102150B1425010A0000002A3400000000000099989999999900019000000190909098B4FFF94C7B15CA616AC493B42017022111203900000000
[11:20:37:394]	CPUCard cmd: (16)805200000B201702211120396AC493B4 -> [9000](6)4D3B6A0B9000
[11:20:38:080]	CPUCard cmd: (5)805C000204 -> [9000](6)000013EC9000
[11:20:38:236]	CPUCard cmd: (5)0084000004 -> [9000](6)1BF611029000
[11:20:38:392]	send [EA] (74) 000000FFFF1102150B1427010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:20:38:938]	recv [EA] (19) 1102150B1427010A0000000333001400000000
[11:20:39:359]	send [EA] (74) 000000FFFF1102150B1428010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:20:40:217]	send [EA] (110) 000000FFFF1102150B1429010A0000005D300000000099989999999912340000000000014902010200000F90000001909090982F7AF871040012340000201701111849390001000000000000000000000064000013884D3B6A0B0001000000009998000000001484131779109379
[11:20:41:013]	recv [EA] (19) 1102150B1428010A0000000333001400000000
[11:20:41:356]	recv [EA] (29) 1102150B1429010A0000000D3000000000000099989999999900000000
[11:20:41:574]	send [EA] (74) 000000FFFF1102150B142B010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:20:42:417]	recv [EA] (19) 1102150B142B010A0000000333001400000000
[11:20:42:822]	send [EA] (74) 000000FFFF1102150B142C010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:20:43:680]	recv [EA] (19) 1102150B142C010A0000000333001400000000
